ID	Status	Name	Price	Description	Type	Voltage	Current	Power	Resistance	Package	Logic
24435	on stock	IRF630N	78.18	N-MOSFET 200V 9,3A 82W 0,3R TO220AB	N-MOSFET	200	9.3	82W	0,3R	TO-220AB	
24559	on stock	IRF640	116.4	N-MOSFET 200V 18A 125W <0,18R	N-MOSFET	200	18	125W	<0,18R		
1274	on stock	IRF640N	75.6	N-MOSFET 200V 18A 150W <0,15R	N-MOSFET	200	18	150W	<0,15R		
34343		IRF640NS (TO263)	104.45	N-MOSFET 200V 18A 150W <0,15R TO263-D2PAK	N-MOSFET	200	18	150W	<0,15R	D2PAK	
23425		IRF644	160.18	N-MOSFET 250V 14A 0,28R 125W TO-220	N-MOSFET	250	14	125W	0,28R	TO-220	
30319		IRF7103 (SO8)	48.23	DUAL MOSFET N and N Channel 50V 3A 0,13R SOIC8	DUAL MOSFET N and N Channel	50	3		0,13R	SOIC-8	
1273	on stock	IRF730	90	N-MOSFET 400V 5,5A 74W 1,0R TO220AB	N-MOSFET	400	5.5	74W	1,0R	TO-220AB	
14661		IRF7311 (SO8)	76.42	DUAL MOSFET N and N Channel 20V 6,6A 0,029R SOIC8 LogL	DUAL MOSFET N and N Channel	20	6.6		0,029R	SOIC-8	LogL
4673	on stock	IRF7313 (SO8)	54.7	DUAL MOSFET N and N Channel 30V 6,5A 2W 0,029R SOIC-8 LogL	DUAL MOSFET N and N Channel	30	6.5	2W	0,029R	SOIC-8	LogL
21810	on stock	IRF7314 (SO8)	55.08	DUAL MOSFET P and P Channel 20V 4,2A 0,053R SOIC8 LogL	DUAL MOSFET P and P Channel	20	4.2		0,053R	SOIC-8	LogL
